v1, v2, v3, v4, v5
10.63,10.14,10.28,10.01,10.5
10.59,10.15,10.27,9.99,10.51
10.73,10.24,10.38,10.08,10.63
10.62,10.14,10.25,9.97,10.5
10.8,10.32,10.46,10.17,10.72
10.84,10.33,10.51,10.17,10.74
10.67,10.18,10.34,10.05,10.55
10.87,10.41,10.53,10.2,10.76
10.7,10.18,10.33,10.03,10.53
10.61,10.11,10.24,9.99,10.48
10.85,10.35,10.47,10.17,10.68
10.67,10.18,10.32,10.05,10.6
10.67,10.19,10.33,10.02,10.55
10.73,10.21,10.37,10.08,10.58
10.58,10.07,10.21,9.91,10.45
10.66,10.14,10.29,10.02,10.53
10.72,10.25,10.36,10.08,10.56
10.91,10.42,10.56,10.26,10.8
10.85,10.37,10.5,10.19,10.71
10.65,10.19,10.28,10.02,10.53
